Gloss,1,2,3,4,5,6,7,8,9,10,11,12
BELT,,,,,,,,,,,,
BENCH,,,,,,,,,,,,
BENEATH, BELOW,,,,,,,,,,,
BERRY,,,,,,,,,,,,
BEST,,,,,,,,,,,,
BETTER,,,,,,,,,,,,
BETWEEN,,,,,,,,,,,,
BICEPS,,,,,,,,,,,,
BICYCLE, BIKE, RIDE-BIKE,,,,,,,,,,
BIG/[SMALL,,,,,,,,,,,,
BINOCULARS,,,,,,,,,,,,
BIRD,,,,,,,,,,,,
BIRTH, BORN,,,,,,,,,,,
BIRTHDAY,,,,,,,,,,,,
BITE,,,,,,,,,,,,
BLACK,,,,,,,,,,,,
BLACKBOARD,,,,,,,,,,,,
BLAME, FAULT, SEE,,,,,,,,,,
BLANKET,,,,,,,,,,,,
BLOCK,,,,,,,,,,,,
BLOOD,,,,,,,,,,,,
"BLOOD: """"DRAW-BLOOD""""",,,,,,,,,,,,
BLOUSE, SHIRT,,,,,,,,,,,
BLOW-DRY,,,,,,,,,,,,
BLUE,,,,,,,,,,,,
BLUE-RAY BLURT,,,,,,,,,,,,
BO STAFF,,,,,,,,,,,,
BOAT,,,,,,,,,,,,
BODY,,,,,,,,,,,,
BODY-PARTS,,,,,,,,,,,,
BOLD,,,,,,,,,,,,
BOOK, OPEN BOOK, CLOSE BOOK, BOOKSTORE,,,,,,,,,
BOOKSTORE,,,,,,,,,,,,
BOOTS,,,,,,,,,,,,
BORED,,,,,,,,,,,,
BORN,,,,,,,,,,,,
BORROW, LOAN,,,,,,,,,,,
BOSS,,,,,,,,,,,,
BOSTON,,,,,,,,,,,,
BOTH,,,,,,,,,,,,
BOTHER,,,,,,,,,,,,
BOTTLE, CUP,,,,,,,,,,,
BOTTOM,,,,,,,,,,,,
BOUQUET,,,,,,,,,,,,
BOW-TIE,,,,,,,,,,,,
BOWEL MOVEMENT,,,,,,,,,,,,
BOWL,,,,,,,,,,,,
BOWLING,,,,,,,,,,,,
BOX,,,,,,,,,,,,
BOY, MALE, MAN,,,,,,,,,,
BRA,,,,,,,,,,,,
BRACELET,,,,,,,,,,,,
BRAIN,,,,,,,,,,,,
BRANCH,,,,,,,,,,,,
BRAVE,,,,,,,,,,,,
BREAD,,,,,,,,,,,,
BREAK,,,,,,,,,,,,
BREAK-DOWN,,,,,,,,,,,,
BREAK-UP,,,,,,,,,,,,
BREAKFAST,,,,,,,,,,,,
BREASTFEED,,,,,,,,,,,,
BREATHE,,,,,,,,,,,,
BRIDESMAID,,,,,,,,,,,,
BRIDGE,,,,,,,,,,,,
BRIGHT,,,,,,,,,,,,
BRING, CARRY,,,,,,,,,,,
BROKE-(FINANCIALLY),,,,,,,,,,,,
BROTHER, BOY, MALE, MAN, SAME, RIGHT ,,,,,,,
BROWN,,,,,,,,,,,,
BRUISE,,,,,,,,,,,,
BRUSH,,,,,,,,,,,,
BRUSH-TEETH,,,,,,,,,,,,
BS,,,,,,,,,,,,
BUG,,,,,,,,,,,,
BUILD,,,,,,,,,,,,
BUILDING,,,,,,,,,,,,
BULLY,,,,,,,,,,,,
BUM,,,,,,,,,,,,
BUNK-BED,,,,,,,,,,,,
BURRITO,,,,,,,,,,,,
BUS,,,,,,,,,,,,
BUSINESS, BUSY,,,,,,,,,,,
BUSY, #BUSY-(LEXICALIZED),,,,,,,,,,,
BUT,,,,,,,,,,,,
BUTTER,,,,,,,,,,,,
BUTTERFLY,,,,,,,,,,,,
BUTTON,,,,,,,,,,,,
BUY,,,,,,,,,,,,
BUZZ-CUT,,,,,,,,,,,,
BY,,,,,,,,,,,,
