EntryID;DominantGloss.Percent;NondominantGloss.Percent;AdditionalGloss.Number;;;;;;;;;;;;;;;;
downsize_1;downsize (34.6); downsized (7.7); downsizing (3.8);46,15;shrink (19.2); minimize (15.4); reduce (11.5); big to small (3.8); zoom in (3.8);reduce (1); minimize (2); shrink (1); lose weight (1);;;;;;
downsize_2;downsize (33.4); downsizing (18.5);endangered (18.5); dwindle (14.8); shrink; shrinking (in number) (7.4); less (3.7); diminish (3.7);decrease (2); reduce (1); skinny (1);;;;;;;;
dryer;dryer;;;;;;;;;;;;;;;;;;
duck;duck;freshman (1);;;;;;;;;;;;;;;;;
dumb;dumb;stupid (37.0);stupid (4); dumb (5);;;;;;;;;;;;;;;
eagle;eagle;hawk (1);;;;;;;;;;;;;;;;;
earn;earn;collect (17.2); income (10.3); gather (3.4); cream (3.4); run out (3.4);earn (2); deserve (2); earn (3); earning (1); cream (1); intake (1); collect (2); gather (1); income (1);;;;
earth;earth;planet (6.7);planet (7); geography (4); earth (1);;;;;;;;;;;;;;
eat_1;eat;food (20.0);;;;;;;;;;;;;;;;;
eat_2;eat;food (28.0);eat (6); food (6); meal (2); diet (1);;;;;;;;;;;;;
egg;egg (64.0); eggs (36.0);;;;;;;;;;;;;;;;;
ego;ego; all about me;bigot (10.0); show-off (10.0); self-centered (10.0); self-involved (5.0); selfish (5.0); greedy (5.0);arrogant (1); selfish (1); pig (1); all mine (1); bully (1); me first (1); self-centered (1);;;;
electrician;electrician;electrical (3.7); electronic (3.7); charger (3.7);hatch (1);;;;;;;;;;;;;;
emotion;emotion (43.5); emotions (21.74);emotional (34.8);emotional (3); emotion (2);;;;;;;;;;;;;;
emperor;emperor;empire (18.5); ambassador (3.7); name sign for person E (3.7);embassy (1); emperor (1); empress (1);;;;;;;;;;;;
engineer;engineer;architect (4.0);;;;;;;;;;;;;;;;;
enough;enough;plenty (1); had enough (1); sufficient (1);;;;;;;;;;;;;;;
equal;equal;fair (46.7); even (3.3);fair (9); equal (4); equality (1); justice (1); same (1); even (1);;;;;;;;;;
evaluate;evaluate;evaluation (40.0); experiment (12.0); experience (4.0);;;;;;;;;;;;;;;
experience;experience;peach (4.0);peach (3); Mormon (2);;;;;;;;;;;;;;;
eyes;eyes;;;;;;;;;;;;;;;;;;
faucet;faucet (61.5); faucets (26.9);sink (7.7); turn on/off water faucet (3.8);;;;;;;;;;;;;;;
favourite;favourite;prefer (24.0); preference (4.0); favor (4.0); taste (4.0);preference (4); favorite (6); favor (1); prefer (4); preferred (1); taste (2); preference (4); favoritism (1);;;;;;
figure;figure (out);multiply (27.6); calculate (13.8); math (10.3);figure (out) (1); multiply (2); math (1); worsening (1);;;;;;;;;;;
film;filming (24.0); film (16.0);videocamera (12.00); vidoetape (20.0); videotaping (8.0); camera (4.0); shoot a film (video) (4.0); video recording (4.0); camcorder (4.0); take video (4.0);film (5); video (2); record (1); camera (1);;;;;
fine_1;fine;OK (3); polite (3); that's alright (2); this is acceptable (1);;;;;;;;;;;;;;
fine_2;fine;alright (3.7);ok (3); no problem (1); no sweat (1); acceptable (1); sure (1);;;;;;;;;;;;
first;first;one dollar (20.0); one (6.7);one dollar (5); only (2); first (1); single (1);;;;;;;;;;;;
floor;floor (96.0); flooring (4.0);;;;;;;;;;;;;;;;;
flower;flower (80.0); flowers (20.0);;;;;;;;;;;;;;;;;
foreigner_1;foreigner (59.3); foreigners (7.4);country person  (29.6); foreign (3.7);foreigner (1);;;;;;;;;;;;;;
foreigner_2;foreigner (80.0); foreigners (6.7);foreign (13.3);;;;;;;;;;;;;;;;
forever;forever;eternity (7.7);eterninty (1); forever (1); lengthy (1);;;;;;;;;;;;;;
forgetful;forgetful;forget (often) (25.9);Alzheimer's (1); dementia (1); forgetful (1);;;;;;;;;;;;;;
game;game (93.3); games (6.7);;;;;;;;;;;;;;;;;
glow;glow (21.7); glowing (13.0);shining face (13.0); eyes shining (8.7); shine; shining (8.7); glitter on face (8.7); face glimmering; glowing (8.7); radiant (4.3); eyes glowing (4.3); eyes glistening (4.3); shiny (4.3);glowing face (1); brilliant (1); aura (1);;;
gold;gold;California (3.8);California (4);;;;;;;;;;;;;;;;
