epoch,acc,loss,val_acc,val_loss
0,0.1388888888888889,2.123121675517824,0.0,2.2573590204119682
1,0.19444444444444445,2.083510312769148,0.0625,2.1172163411974907
2,0.12962962962962962,2.089880406856537,0.125,2.0123192444443703
3,0.21296296296296297,1.983906426915416,0.125,1.9582186788320541
4,0.32407407407407407,1.9228376067346997,0.25,1.8861062228679657
5,0.28703703703703703,1.8825440875909947,0.125,2.0205473750829697
6,0.3611111111111111,1.782252687546942,0.375,1.803553469479084
7,0.4166666666666667,1.7532940170279256,0.4375,1.6934519037604332
8,0.4074074074074074,1.751660375683396,0.375,1.7993958368897438
9,0.5,1.5796594437625673,0.1875,1.7646858468651772
10,0.46296296296296297,1.5324275125232008,0.5,1.639546051621437
11,0.4444444444444444,1.6068897953739874,0.25,1.7815518900752068
12,0.4351851851851852,1.596628641916646,0.125,1.8604333028197289
13,0.4166666666666667,1.4945861791019086,0.5625,1.5959846302866936
14,0.4166666666666667,1.519440711648376,0.25,1.774809904396534
15,0.6481481481481481,1.121486229615079,0.125,1.7421004138886929
16,0.49074074074074076,1.3581843285786885,0.4375,1.4972983356565237
17,0.5370370370370371,1.3271266520713214,0.5625,1.233902782201767
18,0.6111111111111112,1.1679871204412646,0.1875,1.9094303771853447
19,0.6388888888888888,1.1037611108342256,0.4375,1.7460082918405533
20,0.5277777777777778,1.1596159842900104,0.5625,1.403994183987379
21,0.6018518518518519,1.1016122854694173,0.3125,1.7340909745544195
22,0.7222222222222222,0.880359405444728,0.5,1.7799593955278397
23,0.6203703703703703,1.0843102017038122,0.4375,2.070265888236463
24,0.7037037037037037,0.9257236963517412,0.25,1.7305045472458005
25,0.6111111111111112,1.014040155832104,0.125,1.6916665211319923
26,0.7222222222222222,0.8668736808036489,0.625,1.627464732620865
27,0.7407407407407407,0.8064204439934757,0.3125,2.343101256643422
28,0.7222222222222222,0.7301830632474136,0.1875,2.0296669704839587
29,0.7685185185185185,0.7166168021072669,0.625,0.8748708516359329
30,0.75,0.7021561826544779,0.375,1.9522529559326358
31,0.7129629629629629,0.8550091040389681,0.5625,1.7478786204010248
32,0.7777777777777778,0.6793251496942334,0.5,1.5622206958942115
33,0.8703703703703703,0.5501877848076185,0.3125,1.9902762776473537
34,0.7685185185185185,0.5935005596493957,0.3125,2.0856535851489753
35,0.8611111111111112,0.5172299618522326,0.5,1.154455561976647
36,0.8333333333333334,0.5421527301702924,0.625,1.1230638320266735
37,0.8611111111111112,0.5152203749899787,0.5,1.5562036846094998
38,0.8333333333333334,0.5335925497821774,0.4375,2.001261171652004
39,0.8148148148148148,0.5404897295175707,0.25,2.2747585434408393
40,0.8981481481481481,0.3563654377164009,0.75,0.5669158007367514
41,0.8240740740740741,0.5313865452448631,0.8125,1.086874038053793
42,0.8518518518518519,0.4488503843140616,0.6875,1.1034496041247621
43,0.8240740740740741,0.4682507068010401,0.4375,1.5156219125456118
44,0.8425925925925926,0.4831512202895451,0.5,1.7830890877739876
45,0.8888888888888888,0.40640367181832615,0.5625,1.7782808123156428
46,0.8703703703703703,0.4123274674746898,0.3125,1.6344070000050124
47,0.8703703703703703,0.3647299569414894,0.5,2.402284308049275
48,0.8425925925925926,0.474098849261753,0.5,1.518613699972775
49,0.8518518518518519,0.4219016172048416,0.6875,0.8728829790943564
50,0.8981481481481481,0.31357807927351034,0.75,0.7508710571673873
51,0.8703703703703703,0.3834562543687988,0.75,0.7029295357060619
52,0.8796296296296297,0.3238315888905803,0.5,1.7144923189189285
53,0.8981481481481481,0.30585706021843684,0.5,1.742167121342618
54,0.8888888888888888,0.3121885065672729,0.4375,1.6089405885577435
55,0.9074074074074074,0.27353141848423684,0.5625,1.574858321720967
56,0.8703703703703703,0.33104050914321476,0.6875,1.4608864296242245
57,0.8240740740740741,0.4101853828200277,0.6875,0.5665748635510681
58,0.8981481481481481,0.31691900343314583,0.3125,2.149327553343028
59,0.9351851851851852,0.2995142170779959,0.5625,1.4761466578929685
60,0.9074074074074074,0.275372591133486,0.5625,1.3664516698445368
61,0.9074074074074074,0.2571187908114452,0.625,1.0716566745613818
62,0.8611111111111112,0.3669640931991496,0.5625,1.0580205088735966
63,0.9166666666666666,0.2335220898153407,0.625,1.2572002884699032
64,0.9444444444444444,0.27413196506030446,0.625,1.9287807174409863
65,0.9351851851851852,0.22896171085476116,0.6875,0.8434043760389613
66,0.9259259259259259,0.22019678855886687,0.375,1.2546374025987461
67,0.9537037037037037,0.2064369329331115,0.3125,1.896600343920909
68,0.9074074074074074,0.34432118470700784,0.5625,1.0035502091313901
69,0.9444444444444444,0.22784771073134766,0.375,2.221020601901728
70,0.9444444444444444,0.15921288585876162,0.5,1.6180318718452327
71,0.9444444444444444,0.1545020590272004,0.3125,3.1338624905929464
72,0.9351851851851852,0.209860721010298,0.5625,2.09074219468539
73,0.9814814814814815,0.11547544892804311,0.25,3.931675004051044
74,0.9259259259259259,0.2203820427553351,0.625,2.39203252880543
75,0.9074074074074074,0.2271310110372724,0.5625,2.4666847139405945
76,0.9351851851851852,0.19120492163185393,0.375,3.6491288022953086
77,0.9074074074074074,0.20702907616921745,0.6875,1.3874323953850762
78,0.9166666666666666,0.20943286300920322,0.6875,1.1617670220148284
79,0.9722222222222222,0.1683211930416022,0.75,1.570564272304182
